taxa_clean,individual_count,dm_g,keep_data
Simplisetia,108,0.119,TRUE
Simplisetia,153,0.205,FALSE
Simplisetia,194,0.228,FALSE
Simplisetia,200,0.216,FALSE
Simplisetia,154,0.161,TRUE
Simplisetia,231,0.176,FALSE
Simplisetia,86,0.066,TRUE
Simplisetia,170,0.125,FALSE
Simplisetia,114,0.081,TRUE
Simplisetia,89,0.074,TRUE
Simplisetia,140,0.126,TRUE
Simplisetia,1,0.001,TRUE
Hydrobiidae,3,0.017,TRUE
Hydrobiidae,1,0.006,TRUE
Hydrobiidae,14,0.047,FALSE
Hydrobiidae,1,0.007,TRUE
Hydrobiidae,2,0.006,TRUE
Hydrobiidae,1,0.002,TRUE
Hydrobiidae,1,0.001,TRUE
Hydrobiidae,2,0.001,TRUE
Hydrobiidae,7,0.004,TRUE
Hydrobiidae,1,0.009,TRUE
Hydrobiidae,1,0.002,TRUE
Hydrobiidae,2,0.002,TRUE
Hydrobiidae,4,0.005,TRUE
Hydrobiidae,6,0.005,TRUE
Hydrobiidae,13,0.009,TRUE
Hydrobiidae,9,0.006,TRUE
Hydrobiidae,10,0.009,TRUE
Hydrobiidae,12,0.013,TRUE
Hydrobiidae,16,0.023,TRUE
Hydrobiidae,46,0.08,FALSE
Hydrobiidae,49,0.091,FALSE
Hydrobiidae,45,0.087,FALSE
Hydrobiidae,4,0.011,TRUE
Hydrobiidae,11,0.017,TRUE
Hydrobiidae,21,0.018,TRUE
Hydrobiidae,10,0.009,TRUE
Hydrobiidae,18,0.009,TRUE
Hydrobiidae,7,0.008,TRUE
Hydrobiidae,29,0.028,FALSE
Hydrobiidae,4,0.002,TRUE
Hydrobiidae,5,0.002,TRUE
Hydrobiidae,3,0.007,TRUE
Hydrobiidae,9,0.011,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,1,0.003,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,3,0.001,TRUE
Chironomidae,7,0.001,TRUE
Chironomidae,5,0.002,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,42,0.007,TRUE
Chironomidae,51,0.011,TRUE
Chironomidae,12,0.006,TRUE
Chironomidae,3,0.002,TRUE
Chironomidae,21,0.004,TRUE
Chironomidae,2,0.003,TRUE
Chironomidae,11,0.002,TRUE
Chironomidae,35,0.011,FALSE
Chironomidae,8,0.002,TRUE
Chironomidae,19,0.003,TRUE
Chironomidae,56,0.007,TRUE
Chironomidae,40,0.005,TRUE
Chironomidae,17,0.004,TRUE
Chironomidae,15,0.005,TRUE
Chironomidae,153,0.016,FALSE
Chironomidae,183,0.023,FALSE
Chironomidae,7,0.002,TRUE
Chironomidae,11,0.002,TRUE
Chironomidae,3,0.001,TRUE
Chironomidae,7,0.001,TRUE
Chironomidae,15,0.003,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,8,0.001,TRUE
Chironomidae,42,0.002,TRUE
Chironomidae,24,0.006,TRUE
Chironomidae,101,0.009,FALSE
Chironomidae,48,0.005,TRUE
Chironomidae,68,0.004,TRUE
Chironomidae,48,0.003,TRUE
Chironomidae,29,0.001,TRUE
Chironomidae,152,0.009,FALSE
Chironomidae,80,0.005,FALSE
Chironomidae,74,0.006,TRUE
Chironomidae,17,0.001,TRUE
Chironomidae,13,0.001,TRUE
Chironomidae,10,0.001,TRUE
Chironomidae,39,0.004,TRUE
Chironomidae,17,0.002,TRUE
Chironomidae,29,0.002,TRUE
Chironomidae,52,0.003,TRUE
Chironomidae,5,0.004,TRUE
Chironomidae,18,0.005,TRUE
Chironomidae,18,0.001,TRUE
Chironomidae,21,0.002,TRUE
Chironomidae,14,0.001,TRUE
Chironomidae,42,0.009,TRUE
Chironomidae,7,0.005,TRUE
Chironomidae,19,0.003,TRUE
Chironomidae,23,0.004,TRUE
Chironomidae,50,0.004,TRUE
Chironomidae,38,0.004,TRUE
Chironomidae,40,0.005,TRUE
Chironomidae,28,0.004,TRUE
Chironomidae,27,0.008,TRUE
Chironomidae,44,0.005,TRUE
Chironomidae,5,0.002,TRUE
Chironomidae,18,0.002,TRUE
Chironomidae,8,0.002,TRUE
Arthritica,2,0.003,FALSE
Arthritica,35,0.019,TRUE
Arthritica,11,0.01,TRUE
Arthritica,11,0.011,TRUE
Arthritica,17,0.008,TRUE
Arthritica,11,0.017,TRUE
Arthritica,17,0.014,TRUE
Arthritica,28,0.016,TRUE
Arthritica,21,0.015,TRUE
Arthritica,3,0.014,TRUE
Arthritica,270,0.295,TRUE
Arthritica,190,0.223,TRUE
Arthritica,48,0.055,TRUE
Arthritica,130,0.107,TRUE
Arthritica,242,0.204,TRUE
Arthritica,418,0.472,FALSE
Arthritica,230,0.224,TRUE
Arthritica,145,0.146,TRUE
Arthritica,168,0.156,TRUE
Arthritica,242,0.331,TRUE
Arthritica,129,0.193,TRUE
Arthritica,288,0.296,TRUE
Arthritica,63,0.093,TRUE
Arthritica,25,0.05,TRUE
Arthritica,125,0.179,TRUE
Arthritica,288,0.23,TRUE
Arthritica,365,0.275,FALSE
Arthritica,361,0.353,TRUE
Arthritica,78,0.072,TRUE
Arthritica,45,0.033,TRUE
Arthritica,348,0.275,FALSE
Arthritica,535,0.917,FALSE
Arthritica,304,0.267,TRUE
Arthritica,203,0.185,TRUE
Arthritica,372,0.346,FALSE
Arthritica,84,0.065,TRUE
Arthritica,96,0.106,TRUE
Arthritica,124,0.124,TRUE
Arthritica,121,0.136,TRUE
Arthritica,107,0.091,TRUE
Arthritica,3,0.006,TRUE
Arthritica,6,0.008,TRUE
Arthritica,3,0.005,TRUE
Arthritica,5,0.01,TRUE
Arthritica,3,0.005,TRUE
Arthritica,5,0.012,TRUE
Arthritica,6,0.007,TRUE
Arthritica,7,0.011,TRUE
Arthritica,18,0.015,TRUE
Capitella,4,0.002,FALSE
Capitella,25,0.006,TRUE
Capitella,56,0.008,TRUE
Capitella,18,0.002,TRUE
Capitella,39,0.004,TRUE
Capitella,25,0.001,FALSE
Capitella,33,0.003,TRUE
Capitella,55,0.004,TRUE
Capitella,25,0.007,TRUE
Capitella,35,0.005,TRUE
Capitella,178,0.009,TRUE
Capitella,46,0.004,TRUE
Capitella,44,0.002,TRUE
Capitella,35,0.006,TRUE
Capitella,42,0.009,TRUE
Capitella,64,0.008,TRUE
Capitella,32,0.006,TRUE
Capitella,42,0.006,TRUE
Capitella,70,0.007,TRUE
Capitella,49,0.007,TRUE
Capitella,200,0.008,TRUE
Capitella,49,0.006,TRUE
Capitella,155,0.012,TRUE
Capitella,363,0.022,TRUE
Capitella,124,0.014,TRUE
Capitella,137,0.017,TRUE
Capitella,350,0.021,TRUE
Capitella,154,0.01,TRUE
Capitella,127,0.009,TRUE
Capitella,115,0.012,TRUE
Capitella,56,0.002,TRUE
Capitella,50,0.003,TRUE
Capitella,84,0.002,TRUE
Capitella,31,0.004,TRUE
Capitella,19,0.001,FALSE
Capitella,67,0.004,TRUE
Capitella,25,0.003,TRUE
Capitella,6,0.002,FALSE
Capitella,56,0.003,TRUE
Capitella,96,0.004,TRUE
Capitella,189,0.028,TRUE
Capitella,64,0.008,TRUE
Capitella,94,0.01,TRUE
Capitella,115,0.01,TRUE
Capitella,96,0.006,TRUE
Capitella,98,0.006,TRUE
Capitella,45,0.008,TRUE
Capitella,260,0.036,TRUE
Capitella,71,0.013,TRUE
Capitella,92,0.031,FALSE
Capitella,65,0.01,TRUE
Capitella,29,0.009,TRUE
Capitella,86,0.008,TRUE
Capitella,96,0.007,TRUE
Capitella,106,0.006,TRUE
Capitella,157,0.03,FALSE
Capitella,51,0.008,TRUE
Capitella,128,0.013,TRUE
Capitella,77,0.01,TRUE
Capitella,66,0.008,TRUE
Capitella,64,0.012,TRUE
Capitella,77,0.01,TRUE
Capitella,45,0.009,TRUE
Capitella,18,0.004,TRUE
Capitella,552,0.043,FALSE
Capitella,459,0.038,TRUE
Capitella,616,0.071,FALSE
Capitella,550,0.037,FALSE
Capitella,583,0.052,FALSE
Capitella,378,0.028,TRUE
Capitella,621,0.047,FALSE
Capitella,375,0.022,TRUE
Capitella,654,0.033,FALSE
Capitella,837,0.062,FALSE
Capitella,403,0.024,TRUE
Capitella,814,0.069,FALSE
Capitella,433,0.022,FALSE
Capitella,551,0.03,FALSE
Capitella,573,0.044,FALSE
Salinator,1,0.001,TRUE
Salinator,17,0.008,FALSE
Salinator,7,0.002,TRUE
Salinator,1,0.001,TRUE
Salinator,1,0.005,TRUE
Salinator,1,0.039,TRUE
Salinator,2,0.194,FALSE
Salinator,2,0.231,FALSE
Salinator,1,0.017,TRUE
Salinator,3,0.015,TRUE
Salinator,3,0.006,TRUE
Salinator,6,0.074,TRUE
Salinator,9,0.089,TRUE
Salinator,2,0.013,TRUE
Salinator,2,0.032,TRUE
Salinator,8,0.096,TRUE
Salinator,3,0.002,TRUE
Spisula,12,0.028,TRUE
Spisula,8,0.017,TRUE
Spisula,1,0.001,FALSE
Spisula,4,0.01,TRUE
Spisula,2,0.007,TRUE
Spisula,2,0.016,TRUE
Spisula,12,0.017,TRUE
Spisula,4,0.016,TRUE
Spisula,11,0.051,TRUE
Spisula,23,0.072,FALSE
Spisula,4,0.017,TRUE
Spisula,12,0.103,FALSE
Spisula,13,0.035,TRUE
Spisula,1,0.021,TRUE
Spisula,2,0.052,TRUE
Spisula,1,0.031,TRUE
Spisula,1,0.019,TRUE
Spisula,1,0.026,TRUE
Spisula,1,0.043,TRUE
Spisula,1,0.031,TRUE
Spisula,2,0.04,TRUE
Spisula,1,0.03,TRUE
Spisula,1,0.003,TRUE
Salinator (shell removed),16,0.291,FALSE
Salinator (shell removed),8,0.128,TRUE
Salinator (shell removed),12,0.408,FALSE
Salinator (shell removed),7,0.073,TRUE
Salinator (shell removed),11,0.311,TRUE
Salinator (shell removed),2,0.059,TRUE
Salinator (shell removed),2,0.064,TRUE
Salinator (shell removed),2,0.045,TRUE
Salinator (shell removed),3,0.049,TRUE
Salinator (shell removed),2,0.064,TRUE
Salinator (shell removed),2,0.068,TRUE
Salinator (shell removed),4,0.057,TRUE
Salinator (shell removed),3,0.054,TRUE
Salinator (shell removed),3,0.09,TRUE
Salinator (shell removed),2,0.035,FALSE
